ticker,sirket_adi,float_amount_tl,float_pct,odenmis_sermaye_tl,shares_outstanding,float_shares,update_date
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,5182670.1,0.4833,10723505.276225945,10723505.276225945,5182670.1,2026-05-10
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,71745764.91,0.0276,2599484235.869565,2599484235.869565,71745764.91,2026-05-10
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,4678845297.96,0.9283,5040229772.6597,5040229772.6597,4678845297.96,2026-05-10
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,115086637.13,0.2108,545951789.0417458,545951789.0417458,115086637.13000001,2026-05-10
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,194284081.1,0.4857,400008402.51183856,400008402.51183856,194284081.1,2026-05-10
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,923477761.73,0.3791,2435974048.3513584,2435974048.3513584,923477761.7299999,2026-05-10
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,35801241.91,0.1988,180086729.92957744,180086729.92957744,35801241.91,2026-05-10
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,958568055.67,0.3994,2400020169.429144,2400020169.429144,958568055.6700001,2026-05-10
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,175963058.76,0.0251,7010480428.685258,7010480428.685258,175963058.76,2026-05-10
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,184650250.27,0.2559,721571904.142243,721571904.142243,184650250.27,2026-05-10
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,475562376.15,0.1829,2600122340.8966646,2600122340.8966646,475562376.15,2026-05-10
AKBNK,AKBANK T.A.Ş.,2795936390.87,0.5376,5200774536.588542,5200774536.588542,2795936390.87,2026-05-10
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,37944515.77,0.1981,191542230.03533572,191542230.03533572,37944515.77,2026-05-10
AKYHO,AKDENİZ YATIRIM HOLDİNG A.Ş.,192509820.65,0.7756,248207607.85198557,248207607.85198557,192509820.65,2026-05-10
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,184151430.06,0.2525,729312594.2970297,729312594.2970297,184151430.06,2026-05-10
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1723588186.27,0.4419,3900403227.5854263,3900403227.5854263,1723588186.27,2026-05-10
AKFIS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,66831821.1,0.1049,637100296.4728314,637100296.4728314,66831821.10000001,2026-05-10
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,340233870.2,0.2842,1197163512.315271,1197163512.315271,340233870.2,2026-05-10
AKHAN,AKHAN UN FABRİKASI VE TARIM ÜRÜNLERİ GIDA SANAYİ TİCARET A.Ş.,54688342.66,0.002,27344171329.999996,27344171329.999996,54688342.66,2026-05-10
ATEKS,AKIN TEKSTİL A.Ş.,5401516.54,0.2143,25205396.82687821,25205396.82687821,5401516.54,2026-05-10
AKSGY,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1299128224.74,0.5379,2415185396.430563,2415185396.430563,1299128224.74,2026-05-10
AKMGY,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,3655339.86,0.0098,372993863.2653061,372993863.2653061,3655339.86,2026-05-10
AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,1223336841.38,0.3148,3886076370.3303685,3886076370.3303685,1223336841.38,2026-05-10
AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,238541082.42,0.1945,1226432300.3598971,1226432300.3598971,238541082.42,2026-05-10
AKGRT,AKSİGORTA A.Ş.,451223427.22,0.2799,1612087985.780636,1612087985.780636,451223427.22,2026-05-10
AKSUE,AKSU ENERJİ VE TİCARET A.Ş.,55068028.12,0.8343,66005067.86527627,66005067.86527627,55068028.12,2026-05-10
