# REELDEĞER Tactical Regime Overlay Backtest 2021-Q2 → 2026-Q1
# ADR-042: regime-adaptive cash escalation

category,label,cost_model,mode,tl_cum_pct,tl_ann_pct,usd_cum_pct,usd_ann_pct,sharpe_tl,max_dd_tl_pct,sharpe_usd,max_dd_usd_pct
portfolio,konservatif,zero,static,738.81,56.48,64.69,11.07,1.371,-9.88,0.180,-25.11
portfolio,konservatif,zero,tactical,621.45,51.59,41.64,7.60,1.413,-9.88,0.104,-25.51
portfolio,konservatif,realistic,static,719.96,55.73,60.98,10.54,1.351,-10.24,0.166,-25.80
portfolio,konservatif,realistic,tactical,605.15,50.86,38.44,7.09,1.392,-10.24,0.089,-26.20
portfolio,dengeli,zero,static,728.45,56.07,62.65,10.78,1.406,-9.80,0.177,-24.91
portfolio,dengeli,zero,tactical,614.53,51.28,40.28,7.39,1.456,-9.80,0.100,-25.20
portfolio,dengeli,realistic,static,709.75,55.32,58.98,10.25,1.386,-9.93,0.163,-25.60
portfolio,dengeli,realistic,tactical,598.32,50.55,37.10,6.87,1.434,-9.93,0.085,-25.89
portfolio,agresif,zero,static,715.00,55.53,60.01,10.40,1.428,-11.54,0.170,-24.93
portfolio,agresif,zero,tactical,604.74,50.85,38.36,7.07,1.484,-11.54,0.093,-25.12
portfolio,agresif,realistic,static,696.53,54.78,56.38,9.87,1.408,-11.67,0.156,-25.63
portfolio,agresif,realistic,tactical,588.69,50.12,35.21,6.56,1.460,-11.67,0.078,-25.81
benchmark,XU100,n/a,n/a,,,82.77,13.54,,,0.227,-24.91
benchmark,XU030,n/a,n/a,,,92.17,14.74,,,0.267,-22.72
benchmark,SPY,n/a,n/a,,,47.64,8.55,,,0.299,-24.80
