# Portfolio Plan,dengeli,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
GARAN,core,banking_intrinsic,6.73,82.95,67316
ARENA,core,,6.39,78.71,63873
CWENE,core,,6.36,78.37,63594
AKBNK,core,banking_intrinsic,6.06,74.65,60579
YKBNK,core,banking_intrinsic,5.78,71.24,57812
ARCLK,core,,5.66,69.71,56566
LOGO,core,,5.66,69.69,56552
TKNSA,core,,5.35,65.90,53477
EREGL,core,,5.17,63.69,51685
ENJSA,core,,5.05,62.27,50528
ISCTR,core,banking_intrinsic,5.00,61.64,50021
TCELL,core,,4.56,56.18,45586
INFO,yuksek_kazanc,deep_value,2.28,82.18,22836
INDES,yuksek_kazanc,deep_value,2.17,78.27,21748
ISMEN,yuksek_kazanc,deep_value,2.17,78.08,21697
CCOLA,yuksek_kazanc,deep_value,2.16,77.69,21587
OYAKC,yuksek_kazanc,deep_value,2.15,77.50,21536
MAVI,yuksek_kazanc,deep_value,2.12,76.13,21154
AKSA,yuksek_kazanc,deep_value,2.12,76.12,21151
FROTO,yuksek_kazanc,deep_value,2.09,75.28,20918
KCAER,yuksek_kazanc,deep_value,2.07,74.42,20679
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
AEFES,yuksek_kazanc,deep_value,2.00,71.75,20000
VESBE,yuksek_kazanc,deep_value,2.00,69.51,20000
BOSSA,yuksek_kazanc,mature_transition,2.00,59.26,20000
EUREN,yuksek_kazanc,deep_value,2.00,68.85,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,63.93,20000
CASH,cash,reserve,0.91,,9103
