# Portfolio Plan,konservatif,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
GARAN,core,banking_intrinsic,8.31,82.76,83130
CWENE,core,,7.71,76.73,77073
AKBNK,core,banking_intrinsic,7.56,75.29,75630
YKBNK,core,banking_intrinsic,7.13,70.98,71297
ARCLK,core,,7.03,70.01,70326
LOGO,core,,6.84,68.14,68447
DOAS,core,,6.74,67.13,67431
TTRAK,core,,6.73,66.99,67296
GEDIK,core,,6.71,66.75,67056
ENJSA,core,,6.34,63.09,63373
EREGL,core,,6.17,61.40,61676
ISCTR,core,banking_intrinsic,6.15,61.27,61544
HLGYO,core,,5.98,59.50,59772
TCELL,core,,5.59,55.70,55949
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
CCOLA,yuksek_kazanc,deep_value,2.00,77.69,20000
FROTO,yuksek_kazanc,deep_value,2.00,75.34,20000
AEFES,yuksek_kazanc,deep_value,2.00,71.75,20000
AKSA,yuksek_kazanc,deep_value,2.00,76.12,20000
MAVI,yuksek_kazanc,deep_value,2.00,76.13,20000
OYAKC,yuksek_kazanc,deep_value,2.00,77.50,20000
KCAER,yuksek_kazanc,deep_value,2.00,74.42,20000
VESBE,yuksek_kazanc,deep_value,2.00,69.51,20000
ISMEN,yuksek_kazanc,deep_value,2.00,78.08,20000
BOSSA,yuksek_kazanc,mature_transition,2.00,59.57,20000
ARENA,yuksek_kazanc,deep_value,2.00,81.66,20000
INDES,yuksek_kazanc,deep_value,2.00,78.27,20000
EUREN,yuksek_kazanc,deep_value,2.00,68.85,20000
KUYAS,yuksek_kazanc,deep_value,2.00,65.34,20000
AGHOL,yuksek_kazanc,deep_value,2.00,80.16,20000
ISGYO,yuksek_kazanc,mature_transition,2.00,54.36,20000
KLGYO,yuksek_kazanc,deep_value,2.00,70.69,20000
GOODY,yuksek_kazanc,deep_value,2.00,74.07,20000
HALKB,yuksek_kazanc,deep_value,2.00,73.50,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,62.87,20000
CASH,cash,reserve,0.00,,0
